たら,Used as a conjunction to indicate that one action takes place before the action described in the main sentence
ところ,Used as a conjunction to indicate a condition that brings about a discovery
ても,a conjunction meaning “even if”
ても,Used with a set of contrasting verbs and adjectives
ても,Together with an interrogative word it means “no matter what/where/who”
ては,Indicates a condition which will bring a negative conclusion
のみ,Indicates a limit (similar to だけ　dake)
まで,“even”, used to emphasize
さえ,“even”, used to emphasize
さえ,“if only” or “as long as”
のに,“although”, “in spite of the fact that”
ながら,“although”, “though”, “but”
とか,Indicates that a list of two ore more things or actions is not exhaustive
たり,List of two or more actions in no particular sequence
たり,Indicates actions or states that alternate
のに,Indicates a purpose or function
のです,Asks for an explanation or reason
きり,Indicates a limit to an amount
きり,Indicates the last time a certain incident occured
とも,Used with numbers and counters to mean “both” or “all”
ながら,Used with numbers and counters to mean “both” or “all”
しか,Used with a negative verb to indicate limits on conditions or quantities meaning “only”
しかない,used with a verb meaning “to have no choice but to”
し,Used as a conjunction, indicating two or more actions or states
し,Used as a conjunction indicating a reason
とも,Indicates inclusion
に,Indicates the one acting or the one acted upon
か,Indicates uncertainty about something
か,Indicates uncertainty about a state or reason
だの,Indicates two or more items or actions of a longer list (similar to toka とか)
だの,Indicates a pair of opposite actions or states
など,“something to the effect”
やら,Indicates two or more items of a longer list
やら,Indicates uncertainty
ても,Indicates an approximate limit with the meaning of “at the most”
とも,Indicates an approximate maximum or minimum
は,Indicates that a number is the higher or lowest limit
と,Emphasizes a number in a negative sentence
など,Indicates examples
くらい,Expresses an extent of an action or condition similar to ぐらい gurai
ほど,Indicates the extend of an action or condition
ほど,“the more… the more…”
だけ,“as… as…”
だけ,“the more… the more…”
と,“about to do something”, “trying to do something”
と,“even if…”, “whether… or not”
なり,“either…”, “whether…or”
なり,“anything”, “anyone”, “any time”
こそ,Emphasizes the word preceding it
こそ,Emphasizes a reason or a cause
ては,Expresses repetition of an action
に,Joins two or more nouns to indicate a list of items
に,Connects two or more items to indicate a matching or a contrast
にしては,Indicates a generally agreed upon standard
にとって,Indicates an effect or value of a person or thing
について,“about”, “concerning” something or someone
とも…とも,“can’t say whether… or…”
が,“even if”, “whether… or not”
は,Emphasizes contrasting elements
として,Indicates status, capacity or function
として,Provides emphasis in a negative sentence
ばかりでなく,“not only… but also”
だけ,used to express “not only…but also”
のみ,used to express “not only…but also”
なり,“as soon as”
がはやいか,“as soon as”
やいなや,“as soon as”
かないうちに,“no sooner had”, “hardly had”
ばかり,Indicates the only action left to do
ばかりに,Emphasizes a reason or cause
すら,Emphasizes in the meaning of “even”
など,Expresses a humble attitude towards an item
とも,“no matter what”, “even if”
ともあろうひと,To express that someone did something not to be expected
どころか,“far from”, “not to mention”
だけに,Indicates a cause or reason
までもない,“there is no need to…”
ものの,“but” or “although”
ところで,“even if”
けれども,Connects 2 sentences meaning “but” or “although”
けれども,Indicates a preliminary remark
が,Used to soften a statement or refusal
けれども,Indicates a desire
ね,At the end of a sentence to confirm a statement
ね,At the end of a sentence to soften a request or suggestion
ね,At the end of a sentence to indicate a reason or cause
ねえ,At the end of a sentence to indicate emotion
よ,At the end of a sentence to state a strong conviction
よ,At the end of a sentence to articulate a request or suggestion
かしら,At the end of a sentence to express uncertainty, a request or a question and mainly used by women
かな,At the end of a sentence to express uncertainty, a request or a question and mainly used by men
な,At the end of a sentence and used by men to confirm a statement
な,At the end of a sentence to express a prohibition, used by men
なあ,At the end of a sentence to express emotion, used by men
なあ,At the end of a sentence to express a desire
の,At the end of a sentence to express a question or soften a command, used by women
わ,At the end of a sentence to soften a statement, used by women
さ,At the end of a sentence to indicate slight emphasis, used by men
こと,At the end of a sentence to indicate emotion, used by women
こと,At the end of a sentence to express a suggestion or invitation, used by women
もの,At the end of a sentence to express a reason or excuse
とも,At the end of a sentence to express an assertion
ものか,At the end of a sentence to express a negative determination, used by men
や,At the end of a sentence to soften a statement, request or suggestion, used by men
たら,At the end of a sentence to indicate a suggestion or proposal
やら,At the end of a sentence to indicate a rhetorical question with a negative implication
ぜ,At the end of a sentence to add for to sentence, used by men
ぞ,At the end of a sentence to add force to a sentence or to express a question to oneself
